gare;city
ROUEN-RIVE-DROITE;ROUEN
BUEIL;BUEIL
DOL;CHÂTENOIS
JANZÉ;JANZÉ
MONTREUIL-SUR-ILLE;MONTREUIL-SUR-ILLE
CALLAC;CALLAC
LA BROHINIÈRE;MONTAUBAN-DE-BRETAGNE
QUIMPER;QUIMPERLE
LE CROISIC;LE CROISIC
LES SABLES-D'OLONNE;SABLES-D'OLONNE (LES)
CHANTONNAY;CHANTONNAY
ANCENIS;ANCENIS
CHÂTEAUBRIANT TRAM-TRAIN;CHATEAUBRIANT
CLISSON;CLISSON
SAUMUR;SAUMUR
THOUARS;THOUARS
REIGNAC;REIGNAC-SUR-INDRE
PARIS-GARE-DE-LYON;PARIS
BLÉRÉ-LA-CROIX;LA CROIX-EN-TOURAINE
ST-AIGNAN-NOYERS;NOYERS-SUR-CHER
SALBRIS;SALBRIS
POITIERS;POITIERS
ROYAN;ROYAN
MUSSIDAN;MUSSIDAN
LE BUISSON;LE BUISSON-DE-CADOUIN
MONSEMPRON-LIBOS;MONSEMPRON-LIBOS
MACAU;MACAU
FACTURE-BIGANOS;BIGANOS
EYMOUTIERS-VASSIVIERE;EYMOUTIERS
FELLETIN;FELLETIN
PÉRIGUEUX;PERIGUEUX
LA SOUTERRAINE;LA SOUTERRAINE
RODEZ;RODEZ
CARMAUX;CARMAUX
TESSONNIÈRES;GAILLAC
PAMIERS;PAMIERS
MONTAUBAN-VILLE-BOURBON;MONTAUBAN
ST-SULPICE (TARN);ST-SULPICE (TARN)
TARBES;TARBES
ST-GERMAIN-DES-FOSSÉS;SAINT-GERMAIN-DES-FOSSÉS
LUNEL;LUNEL
BÉZIERS;BEZIERS
GÉNOLHAC;GÉNOLHAC
AVIGNON-TGV;AVIGNON
CAVAILLON;CAVAILLON
GARDANNE;GARDANNE
MANOSQUE-GRÉOUX;MANOSQUE
AUBAGNE;AUBAGNE
ANTIBES;ANTIBES
HYÈRES;GARDE (LA )
CARNOULES;CARNOULES
GRENOBLE U.-GIÈRES;GRENOBLE
ST-MARCELLIN;SAINT-MARCELLIN
GIVORS-CANAL;GIVORS
VIENNE;VIENNE
BAS-MONISTROL;BAS-EN-BASSET
LYON-ST-PAUL;LYON
L'ARBRESLE;ÉVEUX
BRIGNAIS;BRIGNAIS
MONTEREAU;MONTEREAU-FAULT-YONNE
CORBIGNY;CORBIGNY
CHALON-SUR-SAÔNE;CHALON-SUR-SAONE
IS-SUR-TILLE;MARCILLY-SUR-TILLE
ETANG;ÉTANG-SUR-ARROUX
MONTCHANIN;ÉCUISSES
TROUVILLE-DEAUVILLE;DEAUVILLE
PARIS-MONTP.3-VAUG.;PARIS
PARIS-MONTPARNASSE 1-2;PARIS
VILLEFRANCHE-VERNET-L.B;VILLEFRANCHE-DE-CONFLENT
VALENCE-VILLE;VALENCE-VILLE
SENS;SENS
MORTEAU;MORTEAU
VALLORBE-CFF;VALLORBE-CFF
TRAVERS;TRAVERS
MEROUX;MEROUX
VALLORCINE;VALLORCINE
MONS;MONSEMPRON-LIBOS
NAMUR;NAMUR
TOURNAI;TOURNAI
TENDE;TENDE
WISSEMBOURG;WISSEMBOURG
HAGUENAU-MOULIN-NEUF.;HAGUENAU-MOULIN-NEUF.
NIEDERMODERN/UBERACH;NIEDERMODERN/UBERACH
